subset_id,netflix_id
0,536
1,2104
2,2190
3,3613
4,5871
5,6801
6,7608
7,8781
8,10100
9,11878
10,18745
11,28214
12,31077
13,31180
14,32779
15,35186
16,37283
17,38559
18,39378
19,52631
20,53698
21,56679
22,63178
23,68336
24,70327
25,72524
26,77951
27,78167
28,81379
29,81866
30,85134
31,87719
32,90566
33,95344
34,96829
35,99297
36,103413
37,105654
38,107882
39,108972
40,113886
41,121769
42,127681
43,130476
44,132073
45,132302
46,132648
47,133984
48,136553
49,140828
50,143111
51,143367
52,144201
53,145020
54,149749
55,155095
56,156467
57,157433
58,159656
59,162529
60,163174
61,167867
62,168047
63,175858
64,180553
65,187721
66,188106
67,191563
68,192124
69,193129
70,195356
71,197143
72,199585
73,202353
74,204783
75,211280
76,215977
77,220995
78,227373
79,229673
80,233679
81,234787
82,241346
83,245277
84,249504
85,251879
86,254300
87,255048
88,264280
89,266049
90,272051
91,273316
92,274304
93,279782
94,281861
95,282958
96,287934
97,288248
98,288645
99,292430
100,298941
101,299757
102,302972
103,304543
104,305938
105,310183
106,315380
107,316712
108,317099
109,318751
110,319205
111,320434
112,322616
113,325882
114,327136
115,330227
116,333719
117,334853
118,335531
119,342034
120,343330
121,345066
122,347183
123,350695
124,353723
125,358796
126,361152
127,363445
128,366920
129,367884
130,374967
131,375752
132,380477
133,385653
134,385898
135,386428
136,391184
137,394877
138,397122
139,398474
140,401488
141,403183
142,407562
143,411843
144,413883
145,414308
146,414577
147,415367
148,415691
149,420973
150,425755
151,431031
152,431510
153,433245
154,437538
155,440355
156,452370
157,459157
158,462723
159,464953
160,465084
161,467139
162,468219
163,470493
164,470925
165,475142
166,480053
167,486802
168,489856
169,493356
170,501440
171,503322
172,507168
173,507958
174,509913
175,511432
176,513154
177,513306
178,519759
179,523027
180,525805
181,525822
182,532730
183,533377
184,539728
185,543607
186,545436
187,545947
188,546208
189,548620
190,549730
191,550431
192,551496
193,551820
194,555998
195,562778
196,564815
197,572325
198,572646
199,575291
200,575860
201,579050
202,581009
203,585578
204,585781
205,587473
206,587586
207,587727
208,588954
209,589406
210,591074
211,591515
212,593169
213,594201
214,595424
215,600877
216,603369
217,604352
218,604798
219,610078
220,611890
221,613315
222,616724
223,618225
224,618529
225,619557
226,621355
227,627804
228,628306
229,630804
230,631021
231,632669
232,636302
233,636892
234,644026
235,644724
236,647984
237,648075
238,650431
239,651424
240,651549
241,651774
242,652191
243,654729
244,656610
245,662049
246,663857
247,667235
248,669032
249,669321
250,672419
251,672774
252,672924
253,673653
254,674372
255,677233
256,680369
257,686023
258,686393
259,689533
260,690065
261,690618
262,692829
263,699578
264,699803
265,703761
266,704334
267,707130
268,707279
269,710691
270,713067
271,713631
272,713640
273,721015
274,721775
275,725368
276,727154
277,728937
278,730915
279,733534
280,734615
281,736490
282,737063
283,738052
284,738802
285,739570
286,741629
287,742171
288,742219
289,747618
290,750224
291,750673
292,751029
293,754620
294,755497
295,759509
296,765460
297,767041
298,770477
299,771806
300,772859
301,777850
302,781388
303,781719
304,783616
305,785077
306,786426
307,788873
308,795987
309,801851
310,802772
311,804486
312,805014
313,811775
314,814022
315,814259
316,815016
317,817081
318,817728
319,822676
320,826022
